text,label.


"Scientists discover a new planet that supports life in our solar system","REAL"
"Breaking: Celebrity caught in scandal involving aliens from Mars","FAKE"
"Government announces new policy to support small businesses","REAL"
"Doctors warn that drinking cold water causes cancer","FAKE"
"Researchers find ancient city under the Sahara Desert","REAL"
"Facebook shutting down permanently next week, company confirms","FAKE"
"New technology reduces electricity usage by 40% in homes","REAL"
"Python snake found driving a car in Mumbai, shocking locals","FAKE"
"University develops vaccine that shows 95% success rate","REAL"
"Whales found flying in the sky above Japan after earthquake","FAKE"
"National Holiday On Tuesday","Fake"
"Japan Is big City","...."
"Today Is Monday","REAL","FAKE"
According to official government sources, Maharashtra Deputy Chief Minister Ajit Pawar was involved in a plane crash incident. The incident was confirmed by authorities and reported by official media channels. A government report stated that the situation is under control and an investigation has been initiated by the concerned ministry.
